iter	RMSE
0	357.1965968
1	350.9173031
2	345.3546582
3	340.2873446
4	335.1038251
5	330.2774453
6	325.7548485
7	321.951503
8	318.1579158
9	314.823594
10	311.7233031
11	308.5637969
12	305.6955603
13	302.7451851
14	299.5775292
15	296.8998296
16	294.6570699
17	292.5151012
18	290.3478816
19	288.4528885
20	286.8766456
21	284.8512329
22	283.2176905
23	281.784985
24	280.6056281
25	279.0261692
26	277.8006571
27	276.4462812
28	275.3698575
29	274.2416706
30	272.8432637
31	271.6438772
32	270.6175421
33	269.7123733
34	268.8230945
35	267.6249797
36	266.5581414
37	265.9377366
38	265.4757595
39	264.8477254
40	264.2345837
41	263.7200683
42	263.1886607
43	262.4584885
44	261.5897797
45	261.0360907
46	260.2332949
47	259.7525941
48	259.2429665
49	258.656091
50	258.2380531
51	257.3254522
52	256.8609508
53	256.4996441
54	255.8676278
55	255.537273
56	255.0386076
57	254.597312
58	254.496233
59	254.1693017
60	253.8547297
61	253.4208641
62	253.1733437
63	252.856958
64	252.5311339
65	251.7182561
66	250.9671391
67	250.7722402
68	250.2884702
69	250.0757245
70	249.7728976
71	249.5285194
72	249.341415
73	249.1113552
74	248.6998421
75	248.3881198
76	248.1297236
77	247.4740721
78	246.9791866
79	246.7565129
80	246.4355697
81	246.3378856
82	245.5250085
83	245.431582
84	245.2367861
85	244.5330027
86	244.5277656
87	244.3578525
88	244.1607807
89	243.3756891
90	243.2067853
91	243.1062591
92	242.8819082
93	242.8390773
94	242.6873086
95	242.3000672
96	242.1695551
97	242.0784848
98	241.9285574
99	241.8361836
100	241.1114782
101	240.9281789
102	240.8335691
103	240.691723
104	240.5283753
105	240.3893886
106	240.2978674
107	240.2040758
108	240.1520639
109	240.0297509
110	239.9067778
111	239.7331373
112	239.6186052
113	239.5584464
114	239.4843702
115	239.2416526
116	239.2067518
117	238.8399226
118	238.7764136
119	238.5834259
120	238.4314405
121	238.3163911
122	238.1651585
123	238.0790255
124	237.9380477
125	237.8741266
126	237.7603708
127	237.7459622
128	237.6596208
129	237.544116
130	237.2684382
131	237.0863942
132	236.7055807
133	236.6384011
134	236.602042
135	236.2738994
136	236.1086147
137	236.0796152
138	236.070986
139	236.0301458
140	235.9787512
141	235.8788534
142	235.8090406
143	235.5512854
144	235.383053
145	235.2966667
146	235.060987
147	234.7803306
148	234.7436396
149	234.7353882
150	234.7326208
151	234.6508013
152	234.4538092
153	234.3711415
154	234.291879
155	234.2052662
156	234.1132942
157	234.0913669
158	234.0309635
159	233.9311468
160	233.8734293
161	233.6871166
162	233.6013872
163	233.5548502
164	233.4368292
165	233.3819294
166	233.2314605
167	233.1603463
168	233.060413
169	232.9961098
170	232.6607966
171	232.6151096
172	232.2469481
173	232.1732079
174	231.542091
175	231.4855175
176	231.4216128
177	231.3327141
178	231.2178376
179	231.1546681
180	231.0829512
181	231.0580596
182	230.9287426
183	230.3432693
184	229.7672439
185	229.6381184
186	229.5249933
187	229.5100214
188	229.4694852
189	229.152523
190	228.6071945
191	228.4917414
192	228.2664919
193	228.1656162
194	228.0911039
195	227.9972951
196	227.9451867
197	227.3811076
198	227.3429283
199	227.3020351
200	227.2300119
201	227.1485213
202	227.0947581
203	227.0231408
204	226.9819249
205	226.858033
206	226.74238
207	226.6676935
208	226.6014204
209	226.5271906
210	226.432026
211	226.3351563
212	226.2843398
213	226.1883597
214	226.1132249
215	226.0467776
216	226.0128172
217	225.8142425
218	225.6281263
219	225.6012809
220	225.5265562
221	225.471947
222	225.4318239
223	225.4215268
224	225.3959646
225	225.1153926
226	225.0901034
227	225.0094045
228	224.9909559
229	224.9630325
230	224.8121145
231	224.7485224
232	224.6708692
233	224.5680623
234	224.3309769
235	224.2621189
236	224.1407479
237	224.0738506
238	224.0598665
239	223.9973416
240	223.9024602
241	223.8651249
242	223.6888918
243	223.6794624
244	223.6358506
245	223.58487
246	223.5268623
247	223.4009527
248	223.3932295
249	223.3132721
250	223.2501192
251	223.1207756
252	223.1016206
253	223.0302505
254	222.97977
255	222.9612255
256	222.9050227
257	222.8615069
258	222.8493981
259	222.7615147
260	222.7498829
261	222.6515614
262	222.6465978
263	222.6258409
264	222.5802317
265	222.5599884
266	222.5183478
267	222.5133255
268	222.4515032
269	222.3809489
270	222.2918897
271	222.284066
272	222.2310454
273	222.1897525
274	221.6916835
275	221.4095499
276	221.2998609
277	221.1739684
278	220.6988166
279	220.6722947
280	220.6658777
281	220.6504657
282	220.6298735
283	220.5518422
284	220.4683899
285	220.4014053
286	220.3638513
287	219.9014554
288	219.8692366
289	219.8093147
290	219.8049845
291	219.697839
292	219.6116046
293	219.3538267
294	219.3315896
295	219.3115735
296	219.3047351
297	219.3010877
298	219.2972553
299	219.2916947
300	219.0456806
301	219.0161956
302	218.8849538
303	218.8729601
304	218.8628414
305	218.7735907
306	218.5461006
307	218.4443691
308	218.438709
309	218.4201852
310	218.4149242
311	218.3134874
312	218.1917415
313	218.1865907
314	218.1816051
315	218.1362309
316	218.1245684
317	218.1005165
318	218.0959826
319	218.0926438
320	217.9788108
