iter	Passed	Remaining
0	2	2516
1	4	2059
2	5	1792
3	6	1656
4	7	1579
5	9	1542
6	10	1494
7	11	1459
8	13	1446
9	14	1481
10	16	1499
11	20	1723
12	22	1693
13	23	1657
14	24	1620
15	25	1598
16	27	1579
17	28	1559
18	29	1534
19	30	1518
20	32	1500
21	33	1483
22	34	1467
23	36	1468
24	38	1497
25	40	1503
26	41	1511
27	43	1509
28	44	1500
29	46	1489
30	47	1481
31	48	1475
32	50	1466
33	51	1455
34	52	1446
35	53	1440
36	54	1429
37	56	1423
38	58	1448
39	63	1535
40	65	1528
41	66	1517
42	67	1509
43	68	1497
44	70	1488
45	71	1479
46	72	1475
47	73	1466
48	75	1459
49	76	1453
50	77	1445
51	79	1443
52	80	1445
53	82	1447
54	84	1447
55	85	1442
56	86	1438
57	88	1431
58	88	1416
59	90	1410
60	91	1403
61	92	1400
62	93	1395
63	94	1388
64	96	1383
65	97	1377
66	98	1372
67	100	1371
68	101	1372
69	106	1417
70	108	1413
71	109	1410
72	110	1404
73	111	1399
74	112	1392
75	114	1387
76	115	1381
77	116	1377
78	117	1372
79	118	1366
80	119	1361
81	121	1356
82	123	1363
83	124	1358
84	125	1353
85	127	1354
86	128	1348
87	129	1343
88	130	1340
89	132	1335
90	133	1331
91	134	1326
92	135	1321
93	136	1317
94	137	1313
95	139	1310
96	140	1307
97	141	1302
98	142	1297
99	144	1299
100	146	1300
101	147	1301
102	150	1306
103	151	1304
104	153	1307
105	154	1306
106	156	1302
107	157	1297
108	158	1294
109	159	1291
110	160	1288
111	162	1286
112	163	1283
113	164	1279
114	165	1277
115	167	1272
116	168	1269
117	169	1267
118	171	1267
119	172	1266
120	174	1269
121	176	1272
122	178	1269
123	179	1266
124	180	1262
125	181	1259
126	182	1257
127	184	1254
128	185	1251
129	186	1249
130	187	1246
131	188	1242
132	190	1240
133	191	1237
134	193	1238
135	197	1256
136	199	1253
137	200	1250
138	201	1245
139	202	1242
140	203	1238
141	204	1235
142	205	1232
143	206	1229
144	208	1226
145	209	1223
146	210	1220
147	211	1218
148	212	1215
149	214	1215
150	215	1212
151	217	1213
152	219	1213
153	221	1214
154	222	1214
155	224	1215
156	226	1214
157	227	1210
158	228	1209
159	229	1206
160	231	1203
161	232	1201
162	233	1198
163	234	1195
164	236	1194
165	237	1194
166	239	1195
167	241	1195
168	242	1192
169	243	1190
170	244	1187
171	245	1184
172	247	1181
173	248	1178
174	249	1175
175	250	1173
176	251	1170
177	253	1168
178	254	1165
179	255	1162
180	256	1159
181	257	1158
182	259	1158
183	265	1176
184	266	1173
185	267	1171
186	268	1168
187	270	1166
188	271	1163
189	272	1161
190	273	1159
191	274	1156
192	276	1154
193	277	1151
194	278	1149
195	279	1148
196	281	1146
197	282	1144
198	283	1143
199	285	1140
200	286	1138
201	287	1136
202	288	1133
203	290	1131
204	291	1129
205	292	1126
206	293	1124
207	294	1122
208	296	1120
209	297	1117
210	298	1115
211	299	1112
212	300	1110
213	301	1108
214	302	1105
215	303	1103
216	305	1100
217	306	1098
218	307	1095
219	308	1093
220	309	1091
221	310	1088
222	311	1086
223	312	1084
224	314	1082
225	315	1080
226	316	1077
227	317	1075
228	318	1073
229	319	1071
230	321	1069
231	322	1066
232	323	1064
233	324	1062
234	325	1060
235	326	1057
236	327	1055
237	328	1053
238	330	1051
239	331	1048
240	332	1046
241	333	1044
242	334	1042
243	335	1040
244	336	1038
245	337	1035
246	339	1033
247	340	1031
248	341	1029
249	342	1027
250	343	1025
251	344	1023
252	346	1021
253	347	1019
254	348	1017
255	349	1015
256	350	1013
257	351	1012
258	352	1009
259	354	1007
260	355	1005
261	356	1003
262	357	1001
263	358	999
264	359	997
265	360	995
266	361	993
267	362	991
268	364	989
269	365	987
270	366	985
271	367	983
272	368	981
273	369	979
274	370	977
275	371	975
276	373	973
277	374	971
278	375	969
279	376	967
280	377	965
281	378	963
282	379	961
283	380	960
284	382	958
285	383	957
286	384	955
287	385	953
288	386	951
289	387	949
290	388	947
291	390	945
292	391	943
293	392	942
294	393	940
295	394	938
296	395	936
297	396	934
298	397	932
299	398	930
300	400	928
301	401	927
302	402	925
303	403	923
304	404	921
305	405	920
306	407	918
307	408	917
308	409	915
309	410	913
310	411	911
311	412	910
312	414	909
313	415	907
314	416	906
315	418	904
316	419	903
317	420	902
318	421	900
319	422	898
320	424	896
321	425	895
322	426	893
323	427	892
324	428	890
325	429	888
326	431	887
327	432	885
328	433	884
329	434	882
330	435	880
331	436	878
332	437	877
333	439	875
334	440	873
335	441	872
336	442	870
337	443	869
338	444	867
339	446	865
340	447	864
341	448	862
342	449	860
343	450	859
344	451	857
345	452	855
346	453	854
347	455	852
348	456	851
349	457	849
350	458	847
351	459	846
352	460	844
353	461	843
354	463	841
355	464	840
356	465	838
357	466	836
358	467	835
359	468	833
360	470	832
361	471	830
362	472	829
363	473	827
364	474	825
365	475	824
366	477	822
367	478	821
368	479	819
369	480	818
370	481	816
371	482	814
372	483	813
373	485	811
374	486	810
375	487	808
376	488	807
377	489	805
378	490	804
379	492	802
380	493	801
381	494	799
382	495	798
383	496	796
384	497	795
385	499	793
386	500	792
387	501	790
388	502	789
389	503	787
390	504	786
391	506	784
392	507	783
393	508	781
394	509	780
395	510	778
396	511	777
397	512	775
398	513	774
399	515	772
400	516	771
401	517	769
402	518	768
403	519	766
404	521	765
405	522	763
406	523	762
407	524	760
408	525	759
409	526	758
410	527	756
411	529	755
412	530	753
413	531	752
414	532	750
415	533	749
416	535	748
417	536	746
418	537	745
419	538	743
420	539	742
421	540	740
422	541	739
423	543	738
424	544	736
425	545	735
426	546	733
427	547	732
428	549	731
429	550	729
430	551	728
431	552	726
432	554	725
433	555	724
434	556	723
435	558	722
436	559	720
437	560	719
438	562	718
439	563	716
440	564	715
441	565	714
442	566	712
443	568	711
444	569	710
445	570	708
446	571	707
447	572	705
448	573	704
449	575	702
450	576	701
451	577	699
452	578	698
453	579	696
454	580	695
455	581	693
456	582	692
457	583	690
458	585	689
459	586	688
460	587	686
461	588	685
462	589	683
463	590	682
464	591	681
465	593	679
466	594	678
467	595	676
468	596	675
469	597	674
470	598	672
471	600	671
472	601	669
473	602	668
474	603	667
475	604	665
476	605	664
477	606	662
478	608	661
479	609	660
480	610	658
481	611	657
482	612	655
483	613	654
484	614	652
485	615	651
486	617	650
487	618	648
488	619	647
489	620	645
490	621	644
491	622	643
492	623	641
493	625	640
494	626	638
495	627	637
496	628	635
497	629	634
498	630	633
499	631	631
